year,state,state_po,state_fips,state_cen,state_ic,candidate,party_detailed,writein,candidatevotes,totalvotes,version,notes,party_simplified,State,electoral_votes,partija_numeric,gimimo_metai,amžius,laimetojas,Populiacija_viso,Baltaodžiai,Juodaodžiai,Indėnai_Arba_Aliaskos_vietiniai,Azijiečiai,Havajiečiai,Dvi_arba_daugiau_rasiu,Ne_ispanakalbiai,Ispanakalbiai,Populiacija_viso_2,Populiacija_0_4,Populiacija_5_17,Populiacija_18_24,Populiacija_25_44,Populiacija_45_64,Populiacija_65_plus,Populiacija_under_18,Populiacija_18_54,Populiacija_55_plus,Vyru_populiacija,Moteru_populiacija,Gimimai,Mirtys,Išorinė_migracija,Vidinė_migracija,Pokytis,Bendras darbingumas,Darbas su darbo sutartimi,Kasyba,Statyba,Gamyba,Valstijos lygio valdžia,Vietinė valdžia
1976,ALABAMA,AL,1,63,41,"CARTER, JIMMY",DEMOCRAT,False,659170,1182850,20210113,,DEMOCRAT,ALABAMA,9,0,,,True,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2470165.0,2074247.0,1680.0,138230.0,299244.0,88652.0,169816.0
1976,ALABAMA,AL,1,63,41,"FORD, GERALD",REPUBLICAN,False,504070,1182850,20210113,,REPUBLICAN,ALABAMA,9,1,,,False,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2470165.0,2074247.0,1680.0,138230.0,299244.0,88652.0,169816.0
1976,ALABAMA,AL,1,63,41,"MADDOX, LESTER",AMERICAN INDEPENDENT PARTY,False,9198,1182850,20210113,,OTHER,ALABAMA,9,2,1915.0,61.0,False,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2470165.0,2074247.0,1680.0,138230.0,299244.0,88652.0,169816.0
1976,ALABAMA,AL,1,63,41,"BUBAR, BENJAMIN """"BEN""""",PROHIBITION,False,6669,1182850,20210113,,OTHER,ALABAMA,9,2,1917.0,59.0,False,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2470165.0,2074247.0,1680.0,138230.0,299244.0,88652.0,169816.0
1976,ALABAMA,AL,1,63,41,"HALL, GUS",COMMUNIST PARTY USE,False,1954,1182850,20210113,,OTHER,ALABAMA,9,2,1910.0,66.0,False,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2470165.0,2074247.0,1680.0,138230.0,299244.0,88652.0,169816.0
1976,ALABAMA,AL,1,63,41,"MACBRIDE, ROGER",LIBERTARIAN,False,1481,1182850,20210113,,LIBERTARIAN,ALABAMA,9,3,1929.0,47.0,False,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2470165.0,2074247.0,1680.0,138230.0,299244.0,88652.0,169816.0
1976,ALABAMA,AL,1,63,41,,,True,308,1182850,20210113,,OTHER,ALABAMA,9,2,,,False,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2470165.0,2074247.0,1680.0,138230.0,299244.0,88652.0,169816.0
1980,ALABAMA,AL,1,63,41,"REAGAN, RONALD",REPUBLICAN,False,654192,1341929,20210113,,REPUBLICAN,ALABAMA,9,1,,,True,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2459540.0,2056708.0,1203.0,133740.0,280483.0,91449.0,169911.0
1980,ALABAMA,AL,1,63,41,"CARTER, JIMMY",DEMOCRAT,False,636730,1341929,20210113,,DEMOCRAT,ALABAMA,9,0,,,False,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2459540.0,2056708.0,1203.0,133740.0,280483.0,91449.0,169911.0
1980,ALABAMA,AL,1,63,41,"ANDERSON, JOHN B.",INDEPENDENT,False,16481,1341929,20210113,,OTHER,ALABAMA,9,2,1922.0,58.0,False,582434.0,445422.0,24738.0,89783.0,22491.0,0.0,0.0,563889.0,18545.0,,295185.0,827088.0,442244.0,1284371.0,1022405.0,580880.0,1122273.0,2331379.0,998521.0,2149338.0,2302835.0,,,,,,2459540.0,2056708.0,1203.0,133740.0,280483.0,91449.0,169911.0
