year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified,partija_numeric,kandidato_aktyvumas,populiarumas_google,Populiacija_viso,Baltaodžiai,Juodaodžiai,Indėnai_Arba_Aliaskos_vietiniai,Azijiečiai,Havajiečiai,Dvi_arba_daugiau_rasiu,Ne_ispanakalbiai,Ispanakalbiai,Total Population,Populiacija_0_4,Populiacija_5_17,Populiacija_18_24,Populiacija_25_44,Populiacija_45_64,Populiacija_65_plus,Populiacija_under_18,Populiacija_18_54,Populiacija_55_plus,Vyru_populiacija,Moteru_populiacija,Gimimai,Mirtys,Išorinė_migracija,Vidinė_migracija,Pokytis,Bendras darbingumas,Darbas su darbo sutartimi,Kasyba,Statyba,Gamyba,Valstijos lygio valdžia,Vietinė valdžia,laimetojas
1978,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,DONALD HOBBS,DEMOCRAT,False,total,29574,122741,False,20210114,DEMOCRAT,0,0.2409463830341939,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,105717.0,76373.0,1435.0,2615.0,2121.0,1905.0,6310.0,False
1978,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,,,True,total,384,122741,False,20210114,OTHER,3,0.003128538956013,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,105717.0,76373.0,1435.0,2615.0,2121.0,1905.0,6310.0,False
1978,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,TED STEVENS,REPUBLICAN,False,total,92783,122741,False,20210114,REPUBLICAN,1,0.755925078009793,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,105717.0,76373.0,1435.0,2615.0,2121.0,1905.0,6310.0,True
1980,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,CLARK S. GRUENING,DEMOCRAT,False,total,72007,156762,False,20210114,DEMOCRAT,0,0.4593396358811447,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,104540.0,76895.0,1185.0,2624.0,2027.0,1422.0,3940.0,False
1980,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,,,True,total,596,156762,False,20210114,OTHER,3,0.0038019417971191,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,104540.0,76895.0,1185.0,2624.0,2027.0,1422.0,3940.0,False
1980,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,FRANK H. MURKOWSKI,REPUBLICAN,False,total,84159,156762,False,20210114,REPUBLICAN,1,0.5368584223217361,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,104540.0,76895.0,1185.0,2624.0,2027.0,1422.0,3940.0,True
1984,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,JOHN E. HAVELOCK,DEMOCRAT,False,total,58804,206438,False,20210114,DEMOCRAT,0,0.2848506573402183,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,108041.0,78627.0,1142.0,2719.0,2008.0,6773.0,9494.0,False
1984,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,OTHER,,False,total,715,206438,False,20210114,OTHER,3,0.0034635096251659,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,108041.0,78627.0,1142.0,2719.0,2008.0,6773.0,9494.0,False
1984,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,TED STEVENS,REPUBLICAN,False,total,146919,206438,False,20210114,REPUBLICAN,1,0.7116858330346157,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,108041.0,78627.0,1142.0,2719.0,2008.0,6773.0,9494.0,True
1986,ALASKA,AK,2,94,81,US SENATE,statewide,gen,False,CHUCK HOUSE,LIBERTARIAN,False,total,3161,180801,False,20210114,LIBERTARIAN,2,0.0174833103799204,,547010.0,419403.0,22657.0,84832.0,20118.0,0.0,0.0,529864.0,17146.0,,47437.0,141045.0,65287.0,194428.0,155272.0,38868.0,188482.0,362559.0,91296.0,332704.0,309633.0,,,,,,109580.0,79514.0,1184.0,2620.0,1982.0,6859.0,9696.0,False
